FA, FB, FC, TA, TB, TC, 
-807.046889999881, 478.625297999941, -22.6497649999801, -86.4267349999864, -754.594803000102, -483.393668999895, 
-807.046891000122, 457.76367200003, -29.2062759997789, -83.4465030001011, -754.594802999869, -481.605529000051, 
-817.179678999819, 460.743904000148, -28.0141829999629, -84.638595999917, -755.19084899989, -479.817389999982, 
-814.199447999941, 470.280648000073, -29.8023220000323, -84.0425490001217, -752.210617000004, -479.81739099999, 
-810.027122, 483.393668999895, -44.7034839999396, -89.4069670001045, -758.767128000036, -486.373902000021, 
-802.874564999947, 471.472739999881, -34.5706939999945, -84.0425489998888, -753.40270999982, -485.181809000205, 
-806.450843000086, 472.068787000142, -26.8220910001546, -87.6188280000351, -755.190849000122, -482.797623000108, 
-812.411309000105, 470.280647000065, -24.4379040000495, -79.2741779999342, -753.402710000053, -484.585761999944, 
-810.623169000028, 474.452973000007, -19.669532999862, -82.8504560000729, -756.382941999938, -486.969948000042, 
-804.662703999784, 466.704368999926, -29.2062760000117, -81.6583630000241, -753.40270999982, -483.393669999903, 
-814.795493999962, 473.856925999979, -25.6299980001058, -85.2346419999376, -753.402710000053, -482.797622999875, 
-806.450843999861, 457.763671999797, -14.3051149998792, -82.2544089998119, -753.40270999982, -481.009483000031, 
-817.775727000088, 474.452973000007, -14.9011609998997, -87.0227810000069, -750.422477999935, -484.585761999944, 
-808.238983000163, 472.068786999909, -21.4576719999313, -86.4267349999864, -756.382941999938, -489.950179999927, 
-806.450844000094, 487.565994000062, -21.4576719999313, -79.8702240001876, -752.8066639998, -482.797623000108, 
-809.431076000212, 467.30041500018, -27.4181359999347, -82.8504559998401, -755.786895999918, -484.585762000177, 
-793.33782200003, 464.916228999849, -26.8220899999142, -86.4267349999864, -751.614569999976, -481.009483000031, 
-815.391539999982, 478.625297999941, -31.5904609998688, -81.6583630000241, -751.018523999956, -481.605529000051, 
-827.908515999792, 475.645065000048, -33.3786009999458, -81.0623170000035, -755.786896000151, -481.605530000059, 
-806.450843999861, 477.433204999892, -27.4181369999424, -82.2544090000447, -755.19084899989, -479.817389999982, 
-873.804092000006, 470.876693000086, -63.1809229999781, -106.692314000102, -783.20503299986, -498.890876999823, 
-854.134559999919, 473.260879999958, -46.491623000009, -101.923941999907, -783.205033000093, -501.275062999921, 
-844.597817000002, 476.241111000068, -45.2995299999602, -107.884406999918, -780.820846999995, -501.275062000146, 
-853.53851299989, 460.743904000148, -32.186507999897, -110.864639000036, -781.416893000016, -501.275063000154, 
-849.962233999977, 488.758086999878, -39.3390659999568, -107.884407000151, -783.205032000085, -498.890877000056, 
-860.69107099995, 476.837158000097, -36.9548800000921, -98.9437100000214, -778.436661000131, -499.486923999852, 
-829.696655000094, 497.698784000007, -41.1272050000262, -104.904174000025, -780.224799999967, -498.890877000056, 
-849.366187999956, 476.837158000097, -39.9351120002102, -103.712081999984, -779.628753999947, -497.698784000007, 
-848.174095999915, 491.142272999976, -34.5706939999945, -104.904175000032, -777.84061399987, -498.890877000056, 
-841.617584000109, 479.221343999961, -20.2655790001154, -108.480453000171, -779.032708000159, -500.082969999872, 
-826.716422999976, 481.009482999798, -32.1865080001298, -108.480452999938, -783.801079000114, -498.890876000049, 
-834.465027000057, 471.472739999881, -39.3390660001896, -104.904175000032, -780.2248000002, -498.890877000056, 
-858.902930999873, 485.777854999993, -29.2062759997789, -101.923943000147, -779.032707000151, -495.91064399993, 
-847.578048999887, 483.989714999916, -43.5113910001237, -107.288360000122, -777.244568000082, -501.275063000154, 
-860.691069999943, 479.221344000194, -56.6244119999465, -106.096267000074, -777.84061500011, -501.275061999913, 
-838.637351999991, 478.029251000145, -37.5509259998798, -107.288360999897, -780.224799999967, -499.486922999844, 
-830.888748999918, 488.162040999858, -38.146972999908, -104.904174000025, -779.628753999947, -496.506690999959, 
