FA, FB, FC, TA, TB, TC, 
-857.114792000037, 364.184380000224, 64.3730160000268, -87.0227820000146, -751.614570999984, -479.81739099999, 
-861.883163999999, 343.322753999848, 48.8758080000989, -767.111777999904, -1022.81570399995, -644.326211000094, 
-836.849213000154, 347.495079000015, 78.0820840001106, -109.672545999987, -759.959221000085, -475.049019000027, 
-840.425492000068, 357.031821999932, 59.6046440000646, -101.327895999886, -752.806664000032, -487.565994000062, 
-844.597817000002, 333.189964000136, 78.0820840001106, -89.4069669998717, -761.747361000162, -482.20157600008, 
-861.883162999991, 357.62786899996, 63.1809230002109, -90.0030139998998, -748.634339000098, -482.201575999847, 
-838.637351999991, 353.455543000018, 66.161155999871, -84.6385950001422, -753.998756000074, -490.546225999948, 
-862.47921000002, 352.263450999977, 74.5058059999719, -78.6781320001464, -751.614570999984, -480.41343700001, 
-841.617583999876, 345.110893999925, 84.6385949999094, -77.48603800009, -748.634338999866, -482.797623000108, 
-868.439675000031, 336.766242999816, 66.1611560001038, -90.0030129998922, -748.03829200007, -485.181808000198, 
-854.730606999947, 358.22391499998, 72.121620999882, -95.9634779999033, -749.230384000111, -486.373901000014, 
-849.962234999985, 363.588332999963, 57.2204589999747, -92.9832459997851, -748.634337999858, -481.009483000031, 
-841.617584000109, 351.071357999928, 69.1413879999891, -81.6583640000317, -752.210617000004, -485.181808999972, 
-860.691069999943, 354.647635999834, 54.8362729998771, -89.4069670001045, -753.402710000053, -485.777854999993, 
-851.154328000033, 358.819961000001, 62.5848769999575, -87.0227810000069, -751.614569999976, -481.009483000031, 
-830.292702000123, 349.87926499988, 75.6978989997879, -88.2148740000557, -750.422476999927, -481.009484000038, 
-852.942465999862, 351.071357999928, 65.5651099998504, -88.8109210000839, -746.250153000001, -485.181808999972, 
-854.730605999939, 348.687172000064, 76.8899920000695, -85.2346420001704, -751.018524000188, -485.777854999993, 
-844.597817000002, 354.051590000046, 68.5453409999609, -79.2741769999266, -748.03829200007, -479.221344000194, 
-843.405723999953, 348.091124999803, 70.333480999805, -85.2346419999376, -753.402710000053, -489.354133999906, 
-881.552695999853, 354.051590000046, 62.5848769999575, -88.2148749998305, -746.846199000021, -478.625297999941, 
-871.419907000149, 355.839729000116, 60.2006910000928, -87.6188279998023, -753.998755999841, -478.625297999941, 
-883.936881999951, 345.110893999925, 66.1611560001038, -102.519988999935, -752.8066639998, -479.81739099999, 
-877.380371000152, 359.416008000029, 64.3730170000345, -97.7516179999802, -748.03829200007, -481.009483000031, 
-876.188278999878, 352.859496999998, 52.4520870000124, -85.8306889999658, -746.250151999993, -482.797622999875, 
-891.089440000011, 357.62786899996, 57.8165060000028, -87.0227810000069, -745.058058999944, -473.260879999958, 
-885.128975, 367.760659000138, 56.0283659999259, -91.1951060001738, -756.978988999967, -479.221343999961, 
-882.148743000114, 357.031821999932, 63.7769700000063, -88.8109210000839, -747.442245000042, -480.41343700001, 
-880.956650000066, 364.780426000012, 59.6046450000722, -102.519988999935, -746.250153000001, -475.645065000048, 
-882.744789000135, 370.740890000016, 55.4323200001381, -87.0227820000146, -749.230384999886, -475.645064999815, 
-894.069672000129, 363.588332999963, 53.0481339998078, -81.6583640000317, -752.806664000032, -473.260879000183, 
-887.513160999864, 376.701355000027, 57.8165049999952, -84.6385950001422, -742.673874000087, -479.221343999961, 
-888.109207000118, 373.721122999908, 61.3927839999087, -90.5990599999204, -753.998756999848, -478.029250999913, 
-894.665717999917, 357.62786899996, 64.3730160000268, -90.0030129998922, -749.230385000119, -479.81739099999, 
-873.208045999985, 368.356704999926, 57.8165060000028, -95.9634779999033, -742.673874000087, -477.433203999884, 
-874.400138999801, 362.396240999922, 63.7769700000063, -87.6188279998023, -752.210617000004, -476.241112000076, 
-877.380370999919, 360.608101000078, 67.3532489999197, -86.4267349999864, -743.865967000136, -475.645066000056, 
-891.089439999778, 378.489494999871, 44.7034830001649, -94.1753389998339, -745.654106000206, -473.260880000191, 
-867.247580999974, 358.22391499998, 50.663947999943, -88.8109200000763, -745.058060000185, -474.452973000007, 
-898.838043000083, 355.839729999891, 73.313713000156, -98.9437100000214, -747.442245000042, -473.26087899995, 
-940.561295000138, 346.899032999994, 33.3786009999458, -91.7911529999692, -749.230384999886, -467.300414999947, 
-922.083854000084, 365.972519000061, 45.2995299999602, -94.7713850000873, -751.614569999976, -472.068786000134, 
-913.143157999963, 383.257866000058, 45.8955769999884, -88.2148740000557, -748.038291000063, -470.280647000065, 
-910.162925999844, 371.336937000044, 54.2402270000894, -102.519988999935, -749.230384000111, -470.876694000093, 
-942.349432999967, 369.5487970002, 59.0085979998112, -92.9832450000104, -749.230384999886, -473.26087899995, 
-942.945481000002, 368.356703999918, 23.2458110000007, -100.13580300007, -748.03829200007, -467.896461999975, 
-935.792922999943, 367.164611999877, 40.531157999998, -104.308129000012, -743.865965999896, -470.280647000065, 
-913.143157999963, 358.819962000009, 40.531157999998, -104.308128000004, -749.826432000147, -471.472739999881, 
-910.162926000077, 370.740891000023, 46.491623000009, -100.731849999866, -747.442244999809, -467.300414999947, 
-908.374786, 368.356703999918, 56.0283659999259, -98.3476640000008, -749.826430999907, -483.393668999895, 
-925.660132999998, 364.780426000012, 43.5113909998909, -100.135802999837, -753.402710000053, -475.049019000027, 
-926.256179999793, 379.085541000124, 45.2995299999602, -103.712081999984, -753.998757000081, -477.433203999884, 
-944.733620000072, 373.125076000113, 46.491623000009, -97.155570999952, -749.230384999886, -472.66483299993, 
-933.408738000086, 370.740891000023, 41.7232520000543, -100.135802999837, -751.018523999956, -470.280647000065, 
-914.931297000032, 376.105309000006, 50.0679019999225, -100.135803999845, -753.402710000053, -478.029251000145, 
-901.818275999976, 362.992285999935, 50.0679009999149, -89.4069670001045, -748.634339000098, -476.837157999864, 
-925.064086999977, 364.780426000012, 41.1272050000262, -98.3476640000008, -747.44224600005, -472.068787000142, 
-906.586646999931, 374.317170000169, 45.2995299999602, -97.7516169999726, -752.806663000025, -471.472739999881, 
-936.985015999991, 362.992285999935, 36.9548800000921, -92.3871989999898, -748.634338000091, -470.876693000086, 
-938.177108000033, 377.893448000075, 43.5113899998832, -97.155570999952, -743.269921000116, -472.068786999909, 
-945.329666000092, 377.297402000055, 33.3786010001786, -101.327895999886, -753.402710000053, -470.876694000093, 
-954.270361999981, 390.41042300011, 22.0537190001924, -110.864639000036, -758.767128000036, -470.876693000086, 
-969.767570999917, 384.449959000107, 9.5367429999169, -104.308128000004, -753.402710000053, -469.684601000044, 
-972.151757000014, 386.238097999943, 25.0339510000777, -101.923943000147, -759.363174000056, -471.472741000121, 
-968.575478000101, 385.046004999895, 34.5706939999945, -101.923942999914, -747.442245999817, -463.128090000013, 
-951.290129999863, 381.469726999989, 23.8418580000289, -104.904175000032, -759.363174000056, -472.068785999902, 
-973.343849000055, 384.449959000107, 24.4379049998242, -104.904175000032, -752.806664000032, -468.492507999996, 
-960.826873000013, 367.760657999897, 20.2655789998826, -109.672546999995, -754.594803000102, -473.856925999979, 
-981.688500000164, 388.622284000041, 30.39836799982, -101.923941999907, -753.402710000053, -467.30041500018, 
-934.004783999873, 379.085540999891, 20.265580000123, -104.308128000004, -752.210617000004, -466.704367999919, 
-960.82687400002, 387.430190999992, 25.0339510000777, -101.923942999914, -752.806664000032, -464.320183000062, 
-944.137573000044, 374.913215999957, 36.3588329998311, -104.904175000032, -758.171082000015, -466.704368999926, 
-946.521758999908, 388.026237000013, 15.4972080001608, -103.712082000216, -755.786895999918, -466.108321999898, 
-982.880591999972, 380.277633000165, 24.4379039998166, -119.805335999932, -888.705253000138, -493.526459000073, 
-958.442688000156, 376.105309000006, 22.0537189999595, -103.712082000216, -756.978988999967, -468.492507999996, 
-972.151756000007, 384.449959000107, 18.477440000046, -103.712081999984, -754.594803000102, -467.896461999975, 
-973.939895999851, 389.814376999857, 32.186507999897, -104.308129000012, -754.594803000102, -466.704368999926, 
-966.787338000024, 385.046005999902, 20.2655799998902, -109.672546999995, -756.978988999967, -468.492507999996, 
-960.230828, 392.198561999947, 22.6497649999801, -109.672545999987, -756.978988999967, -467.8964610002, 
-975.72803499992, 376.105307999998, 33.3786009999458, -102.519988999935, -755.190849000122, -469.684599999804, 
-982.880591999972, 380.873679999961, 3.57627899991348, -115.03696399997, -747.44224600005, -458.359719000058, 
-997.781754000112, 391.602515999926, 0.596046000020579, -111.460685000056, -750.422477999935, -455.975533000194, 
-988.245009999955, 386.834143999964, -3.57627900014631, -117.421150000067, -744.462013999932, -461.935996999964, 
-1009.70268300013, 391.602517000167, -7.74860399984755, -114.440917999949, -749.230384999886, -455.37948699994, 
