FA , FB, FC, TA, TB, TC, 
-784.397124999901, 275.969505000161, 343.322753999848, -82.8504560000729, -716.447829999961, -513.195990999928, 
-773.668289000168, 278.949737000046, 344.51484700013, -81.6583630000241, -717.63992300001, -515.580177000025, 
-773.668289000168, 279.545783999842, 339.746474999934, -81.0623170000035, -716.447829999961, -512.599944999907, 
-765.919685000088, 283.718109000009, 345.110893999925, -81.6583640000317, -717.043875999982, -514.984131000005, 
-779.628753000172, 281.333924000151, 345.706939999945, -82.2544099998195, -715.25573799992, -512.003898000112, 
-775.456429000013, 275.969505000161, 331.997871000087, -82.8504560000729, -715.85178399994, -514.388084999984, 
-789.761543999892, 278.353691000026, 342.726707000053, -80.4662710002158, -714.659690999892, -512.59994500014, 
-780.224799999967, 283.718109000009, 340.938567999983, -79.8702240001876, -715.255737000145, -513.792037999956, 
-780.224800999975, 277.757645000005, 346.899031999987, -82.8504560000729, -715.255737000145, -510.215759000042, 
-778.436660999898, 276.565551999956, 336.766243000049, -82.2544099998195, -719.428063000087, -513.195991999935, 
-783.20503299986, 261.664391000057, 351.071357999928, -80.4662699999753, -718.832015999826, -513.195991999935, 
-777.840614000103, 279.545784000074, 333.189963999903, -81.6583630000241, -715.851784000173, -514.388084999984, 
-773.668289000168, 281.333922999911, 341.534614000004, -82.2544100000523, -717.63992300001, -516.176223000046, 
-783.801078999881, 277.161597999977, 340.938567999983, -82.8504559998401, -717.043876999989, -514.984129999997, 
-784.397125999909, 289.67857400002, 343.322753999848, -79.2741769999266, -716.447830999969, -514.388084999984, 
-787.973404000048, 280.141829999862, 350.475312000141, -81.0623170000035, -714.659691000124, -514.984129999997, 
-768.899917999981, 276.565551999956, 342.72670800006, -79.8702239999548, -715.851784000173, -513.792038000189, 
-779.628753999947, 284.910202000057, 356.435775999911, -82.8504560000729, -717.639922999777, -515.580177000025, 
-787.973404000048, 284.314154999796, 346.899032999994, -82.2544099998195, -717.63992300001, -514.388084999984, 
-791.549683000194, 285.506249000086, 334.97810399998, -77.48603800009, -717.63992300001, -513.195991999935, 
-755.78689499991, 271.797179999994, 336.170197000029, -67.9492949999403, -689.625740000047, -494.122504999861, 
-751.018523999956, 271.797179999994, 338.554381999886, -69.1413879999891, -689.625740000047, -495.314598000143, 
-748.038291999837, 272.989273000043, 336.170197000029, -64.9690629998222, -690.817832999863, -494.122504999861, 
-748.634338000091, 269.412994000129, 334.382056999952, -66.757203000132, -687.83760100021, -494.122504999861, 
-772.476196999894, 271.797179999994, 343.322753999848, -67.9492950001732, -689.625740000047, -494.122505000094, 
-744.462013999932, 275.969505999936, 349.283218999859, -64.3730160000268, -689.029694000026, -490.54622600018, 
-761.151313999901, 283.718109000009, 336.170196000021, -68.5453419999685, -688.433646999998, -495.910644000163, 
-742.077827999834, 274.777412999887, 345.11089300015, -66.1611550000962, -691.413880000124, -494.718551999889, 
-758.767128000036, 270.605087999953, 342.726707000053, -63.1809229999781, -684.261322000064, -490.546225999948, 
-761.747360000154, 282.52601599996, 336.170196999796, -61.3927849999163, -689.625740000047, -495.910644999938, 
-762.939453999978, 275.969505000161, 340.938567999983, -64.969063000055, -691.413879999891, -494.718550999882, 
-763.535499999998, 280.141831000103, 337.958336000098, -68.5453409999609, -688.433646999998, -492.93041299982, 
