FA , FB, FC, TA, TB, TC, 
-731.945038000122, 344.514846999897, 302.195549000055, -66.1611560001038, -734.329223999986, -516.176224000053, 
-721.812247999944, 358.22391499998, 306.963921000017, -66.1611550000962, -735.521316000028, -516.176224000053, 
-711.679457999999, 359.416008000029, 301.003456000006, -69.1413879999891, -731.348992000101, -517.368316999869, 
-723.004340999993, 357.62786899996, 308.752059000079, -66.1611560001038, -735.521317000035, -516.772270000074, 
-730.156899000052, 358.22391499998, 304.579735000152, -66.161155999871, -734.925270000007, -517.368316999869, 
-719.428061999846, 351.071356999921, 303.387641000096, -61.9888299999293, -729.560852000024, -512.599944999907, 
-723.600387000013, 340.342521999963, 305.771827000193, -61.9888309999369, -731.348991000094, -516.176223000046, 
-740.88573400001, 360.01205400005, 305.771827000193, -67.3532489999197, -734.925270000007, -516.176224000053, 
-734.925271000015, 351.667404999956, 307.559967000037, -61.9888299999293, -733.137130999938, -516.772270000074, 
-718.832015999826, 357.031821999932, 305.77182699996, -66.161155999871, -736.117362999823, -513.792037999956, 
-719.428062000079, 349.87926499988, 308.752059999853, -64.3730170000345, -732.541083999909, -516.772270000074, 
-718.235970000038, 349.879265000112, 303.387642000103, -69.1413879999891, -733.13713100017, -516.772270000074, 
-732.541084000142, 338.554382999893, 305.17578099994, -61.3927849999163, -734.925270000007, -516.176224000053, 
-720.620155000128, 352.859496999998, 305.17578099994, -62.5848769999575, -734.329223999986, -515.580177000025, 
-718.832016000059, 348.091126000043, 309.348106999882, -67.3532490001526, -733.13713100017, -514.984131000005, 
-712.275505000027, 355.839729000116, 309.944152999902, -64.3730160000268, -731.945037999889, -514.388083999977, 
-724.196434000041, 348.091126000043, 303.983687999891, -67.3532479999121, -734.925270000007, -516.176224000053, 
-718.23596900003, 351.667403999949, 311.732292000204, -66.7572019998915, -734.925270000007, -516.772269999841, 
-723.600387000013, 343.918801000109, 306.963921000017, -67.3532489999197, -733.733178000199, -516.772270999849, 
-714.659690999892, 353.455543000018, 302.791595000075, -64.969063000055, -732.541084000142, -517.368316999869, 
-737.309456000105, 354.051590000046, 301.003456000006, -66.161155999871, -729.560852000024, -513.195991999935, 
-748.03829200007, 361.800193999894, 296.831131000072, -69.7374340000097, -728.368758999975, -516.772269999841, 
-740.885735000018, 362.396240000147, 292.658804999897, -69.1413879999891, -725.984574000118, -513.195991999935, 
-744.462013000157, 362.396240999922, 293.254851999925, -72.121620999882, -730.752945000073, -516.176223000046, 
-742.673874000087, 358.22391499998, 289.67857400002, -67.3532489999197, -727.772713000188, -512.003897999879, 
-742.673874000087, 354.647637000075, 294.446944999974, -70.9295270000584, -729.560852000024, -514.388083999977, 
-743.269921000116, 359.416008000029, 286.102294999873, -67.9492949999403, -728.964804999996, -514.388084999984, 
-743.865966999903, 358.819962000009, 295.042992000002, -69.7374340000097, -730.752945000073, -514.984131000005, 
-742.077827000059, 355.839729999891, 296.235084000044, -70.9295280000661, -730.752945000073, -517.368317000102, 
-740.289688999997, 359.416008000029, 294.446944999974, -65.5651090000756, -730.75294499984, -513.792036999948, 
-759.363175000064, 361.204148000106, 289.67857400002, -65.5651099998504, -728.964804999996, -514.984131000005, 
-734.925270000007, 358.22391499998, 299.81136300019, -69.1413879999891, -730.156898000045, -514.984129999997, 
-740.885735000018, 361.204148000106, 295.042992000002, -69.1413880002219, -729.560852000024, -514.388085000217, 
-740.28968799999, 351.071357000154, 301.003456000006, -67.9492949999403, -730.752945000073, -516.176222999813, 
-739.693641999969, 363.588332999963, 302.195549000055, -70.3334810000379, -730.752945000073, -514.984131000005, 
-756.382941999938, 364.780426000012, 296.235084000044, -70.9295279998332, -729.560852000024, -514.984131000005, 
-749.82643100014, 359.416008000029, 298.619269999908, -71.525573000079, -731.348991000094, -514.388083999977, 
-752.210617000004, 355.839729999891, 292.658806000138, -69.7374340000097, -728.368759999983, -519.752502999967, 
-743.865967000136, 355.243682000088, 295.63903799979, -70.9295270000584, -729.560852000024, -514.388084999984, 
-752.806663000025, 353.455543999793, 287.294387999922, -76.2939450000413, -737.309456000105, -521.540642000036, 
-767.707824999932, 368.356703999918, 286.102294000098, -68.5453419999685, -725.984574000118, -514.984129999997, 
-773.668289999943, 367.760659000138, 279.545783999842, -72.717665999895, -722.408295000205, -510.215759000042, 
-771.880150000099, 367.760658999905, 272.989273000043, -73.9097600001842, -725.388526999857, -514.388085000217, 
-762.343405999942, 364.184379999992, 270.605086999945, -70.9295280000661, -724.196434000041, -514.388084999984, 
-774.264336000197, 367.760657999897, 280.141830000095, -69.1413879999891, -723.600387000013, -512.59994500014, 
-758.767128000036, 365.972519000061, 285.506249000086, -75.6978990000207, -726.580618999898, -512.59994500014, 
-759.959220999852, 373.125076999888, 283.122062999988, -70.9295269998256, -727.772711999947, -511.407852000091, 
-773.072243000148, 370.740890000016, 281.333923000144, -73.3137129999232, -724.196434000041, -513.792038000189, 
-773.668288999936, 364.780426000012, 287.890434000175, -68.5453419999685, -723.004340999993, -512.599944999907, 
-764.131546000019, 361.204147999873, 277.757645000005, -70.9295280000661, -726.580620000139, -514.388083999977, 
-767.111779000144, 355.243682999862, 268.816947999876, -70.9295280000661, -724.792480000062, -513.195990999928, 
-766.515732000116, 367.760657999897, 281.333923000144, -69.7374340000097, -725.388526999857, -514.984131000005, 
-769.495964000002, 364.780426000012, 285.506248000078, -72.1216199998744, -724.196434000041, -516.772270999849, 
-771.880150000099, 355.243683000095, 295.042990999995, -70.9295269998256, -722.408294999972, -513.195991999935, 
-775.456428000005, 368.356704999926, 284.910202000057, -72.1216200001072, -725.38852700009, -514.388084999984, 
-767.111778000137, 365.376472000033, 275.373458999908, -72.7176669999026, -721.216201999923, -510.811805999838, 
-771.880149999866, 360.608100999845, 278.353691000026, -73.9097599999513, -726.580620000139, -514.984129999997, 
-770.09201100003, 361.800193000119, 280.141830000095, -69.7374340000097, -724.792480000062, -514.388083999977, 
-765.323639000067, 362.992286000168, 275.969504999928, -76.2939460000489, -724.792480000062, -514.388084999984, 
-777.244567999849, 368.356705000158, 285.506248000078, -74.5058059999719, -724.196434999816, -513.792038000189, 
-793.933867999818, 386.238097999943, 265.836714999983, -78.678130999906, -721.216200999916, -515.580178000033, 
-783.801078999881, 377.893448000075, 269.412993999897, -76.8899920000695, -722.408294999972, -512.59994500014, 
-790.953635999933, 379.681586999912, 279.545783999842, -76.2939450000413, -721.216202000156, -517.96436299989, 
-789.165497000096, 370.740891000023, 262.260437000077, -72.121620999882, -720.620154999895, -512.59994500014, 
-795.125960999867, 371.336937000044, 269.412994000129, -77.48603800009, -719.428062000079, -510.811806000071, 
-799.298285999801, 385.642052000156, 272.393227000022, -78.0820840001106, -721.216202000156, -513.792037999956, 
-787.377357000019, 385.642052000156, 262.856484000105, -73.3137139999308, -718.235970000038, -513.792037999956, 
-800.490379000083, 376.701355000027, 266.432763000019, -76.8899920000695, -717.639924000017, -510.21575899981, 
-796.318053999916, 372.529030000092, 259.87625099998, -75.1018519999925, -718.832015999826, -510.21575899981, 
-787.973404000048, 374.317168999929, 261.068344000028, -74.5058059999719, -723.004340999993, -512.599946000148, 
