FA , FB, FC, TA, TB, TC, 
-737.905502000125, 353.455543000018, 298.023223999888, -67.9492949999403, -731.945038000122, -517.368317000102, 
-726.580619999906, 348.091125000035, 301.599503000034, -66.1611560001038, -733.733176999958, -516.176223999821, 
-714.659690000117, 357.62786899996, 290.27462000004, -69.7374339997768, -734.329223999986, -515.580177000025, 
-717.63992300001, 354.647636000067, 293.254851999925, -67.3532490001526, -730.752945000073, -514.388083999977, 
-717.043876999989, 349.283218999859, 292.06275900011, -67.3532490001526, -731.348991000094, -516.772271000082, 
-711.679459000006, 355.243682000088, 294.446944999974, -66.7572019998915, -731.945038000122, -514.984131000005, 
-720.620156000135, 347.495079000015, 290.27462000004, -65.5651100000832, -736.713409000076, -516.772270000074, 
-711.083411999978, 343.918801000109, 296.831131000072, -66.1611550000962, -733.733177000191, -518.560410000151, 
-714.659690999892, 349.283217999851, 302.791594999842, -64.3730160000268, -732.541083999909, -516.772270000074, 
-724.196434000041, 346.899032999994, 293.850898000179, -60.2006909998599, -734.329222999979, -517.368316000095, 
-711.679459000006, 346.302985999966, 302.195549000055, -64.3730160000268, -732.541083999909, -515.580178000033, 
-721.812248999951, 349.283218000084, 284.314155999804, -66.7572019998915, -733.137130999938, -515.580178000033, 
-721.216202000156, 349.283218999859, 284.910202000057, -63.1809229999781, -731.945036999881, -516.772269999841, 
-728.964806000004, 349.283218000084, 292.06275900011, -63.7769700000063, -730.75294499984, -515.580178000033, 
-712.871552000055, 354.647636000067, 287.294388000155, -67.3532489999197, -733.13712999993, -515.580177000025, 
-725.984572999878, 352.859496999998, 289.082526999991, -64.9690619998146, -733.733176999958, -516.772270000074, 
-728.964804999996, 349.879265000112, 293.254851999925, -66.161155999871, -732.541083999909, -517.368317000102, 
-730.156897999812, 344.51484700013, 283.122062999988, -67.9492949999403, -734.925270000007, -518.560408999911, 
-721.216202000156, 358.22391499998, 297.4271780001, -64.373015999794, -733.733177000191, -516.772269999841, 
-712.871552000055, 351.667403999949, 293.850898999954, -66.7572019998915, -733.733177000191, -510.811805999838, 
-699.758528999984, 359.416008000029, 296.235085000051, -64.3730160000268, -736.117363000056, -512.599944999907, 
-714.659690000117, 351.071358000161, 306.367873999989, -63.1809229999781, -734.329223999986, -516.176224000053, 
-702.73876200011, 338.554382000118, 298.619269999908, -66.7572019998915, -733.733176999958, -514.388084000209, 
-706.911087000044, 352.859496999998, 294.446944999974, -62.5848770001903, -733.733176999958, -514.388084000209, 
-713.467598000076, 346.302986999974, 295.042990999995, -62.5848770001903, -734.329223999986, -516.772270000074, 
-709.295271999901, 359.416008000029, 296.831131000072, -62.5848769999575, -734.329223999986, -516.772270000074, 
-714.659690999892, 357.031821999932, 298.619269999908, -67.9492949999403, -734.329224000219, -514.388084999984, 
-696.778298000107, 355.839730000123, 303.387642000103, -66.1611550000962, -733.137130999938, -514.984131000005, 
-715.851784000173, 361.204147000099, 289.67857400002, -63.1809229999781, -731.348991000094, -516.176224000053, 
-707.507133000065, 348.687171000056, 298.619269999908, -63.7769700000063, -731.945038000122, -513.792037999956, 
-715.85178399994, 342.726707000053, 297.427177000092, -65.5651090000756, -731.945037999889, -516.176224000053, 
-704.526901999954, 359.416008000029, 295.639038000023, -67.9492949999403, -735.521316000028, -518.560409999918, 
-696.778297999874, 357.62786899996, 295.042992000002, -65.5651090000756, -733.13712999993, -515.580177000025, 
-711.679457999999, 351.667404000182, 303.387641000096, -63.1809229999781, -733.733177000191, -514.388084999984, 
-714.659691000124, 356.435774999904, 295.639038000023, -67.3532489999197, -730.156899000052, -513.792037999956, 
-702.142714999849, 354.647635999834, 295.639038000023, -67.3532489999197, -735.521317000035, -516.176224000053, 
-705.122946999967, 357.031822000165, 296.235084000044, -62.5848769999575, -731.945037000114, -515.580177000025, 
-712.275505000027, 351.071357999928, 296.831131000072, -68.5453409999609, -736.713409999851, -513.792037999956, 
-716.447829999961, 350.475311000133, 299.811362999957, -68.5453410001937, -734.925270000007, -516.772271000082, 
-702.73876200011, 351.071358000161, 306.963921000017, -67.9492959999479, -733.733177000191, -518.560410000151, 
-684.857368000085, 351.667403999949, 290.870667000068, -66.1611549998634, -734.329223999986, -514.388083999977, 
-700.950623000041, 343.322753999848, 293.254851999925, -62.5848769999575, -734.925270000007, -517.96436299989, 
-686.645506999921, 361.800193999894, 307.559967000037, -70.3334810000379, -734.329223999986, -514.984129999997, 
