FA, FB, FC, TA, TB, TC, 
-2838.96923099994, -1389.98031600006, -1558.06541400007, -2081.99024199997, -2896.78573600017, -2708.43505900004, 
-2838.96923099994, -1389.98031600006, -1558.06541400007, -2081.99024199997, -2896.78573600017, -2708.43505900004, 
-2838.96923099994, -1389.98031600006, -1558.06541400007, -2081.99024199997, -2896.78573600017, -2708.43505900004, 
-2838.96923099994, -1389.98031600006, -1558.06541400007, -2081.99024199997, -2896.78573600017, -2708.43505900004, 
-2838.96923099994, -1389.98031600006, -1558.06541400007, -2081.99024199997, -2896.78573600017, -2708.43505900004, 
-2838.96923099994, -1389.98031600006, -1558.06541400007, -2081.99024199997, -2896.78573600017, -2708.43505900004, 
-2838.96923099994, -1389.98031600006, -1558.06541400007, -2081.99024199997, -2896.78573600017, -2708.43505900004, 
-2838.96923099994, -1389.98031600006, -1558.06541400007, -2081.99024199997, -2896.78573600017, -2708.43505900004, 
-2838.96923099994, -1389.98031600006, -1558.06541400007, -2081.99024199997, -2896.78573600017, -2708.43505900004, 
-2838.96923099994, -1389.98031600006, -1558.06541400007, -2081.99024199997, -2896.78573600017, -2708.43505900004, 
-2838.96923099994, -1389.98031600006, -1558.06541400007, -2081.99024199997, -2896.78573600017, -2708.43505900004, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2816.31946599996, -1366.13845800003, -1541.37611399987, -2070.66535899998, -2888.44108500006, -2685.78529300005, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
-2815.12737300014, -1361.37008699984, -1531.24332399992, -2075.43373099994, -2880.09643499996, -2683.40110799996, 
