FA, FB, FC, TA, TB, TC, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2176.16558100004, -3026.12781500001, -2774.59621499991, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2979.63619200001, -1904.3683999998, -1698.13632999989, -2175.56953400001, -3029.70409399993, -2777.57644700003, 
-2985.00060999999, -1906.15653999988, -1702.90470100008, -2190.47069599992, -3029.70409400016, -2775.19226099993, 
-2985.00060999999, -1906.15653999988, -1702.90470100008, -2190.47069599992, -3029.70409400016, -2775.19226099993, 
-2985.00060999999, -1906.15653999988, -1702.90470100008, -2190.47069599992, -3029.70409400016, -2775.19226099993, 
-2985.00060999999, -1906.15653999988, -1702.90470100008, -2190.47069599992, -3029.70409400016, -2775.19226099993, 
-2985.00060999999, -1906.15653999988, -1702.90470100008, -2190.47069599992, -3029.70409400016, -2775.19226099993, 
-2985.00060999999, -1906.15653999988, -1702.90470100008, -2190.47069599992, -3029.70409400016, -2775.19226099993, 
-2985.00060999999, -1906.15653999988, -1702.90470100008, -2190.47069599992, -3029.70409400016, -2775.19226099993, 
-2985.00060999999, -1906.15653999988, -1702.90470100008, -2190.47069599992, -3029.70409400016, -2775.19226099993, 
-2985.00060999999, -1906.15653999988, -1702.90470100008, -2190.47069599992, -3029.70409400016, -2775.19226099993, 
-2985.00060999999, -1906.15653999988, -1702.90470100008, -2190.47069599992, -3029.70409400016, -2775.19226099993, 
-2985.00060999999, -1906.15653999988, -1702.90470100008, -2190.47069599992, -3029.70409400016, -2775.19226099993, 
