FA, FB, FC, TA, TB, TC, 
-2871.15573799983, -1457.929611, -1850.72421999997, -2160.66837299988, -3021.95548999985, -2790.68946800008, 
-2871.15573799983, -1457.929611, -1850.72421999997, -2160.66837299988, -3021.95548999985, -2790.68946800008, 
-2871.15573799983, -1457.929611, -1850.72421999997, -2160.66837299988, -3021.95548999985, -2790.68946800008, 
-2871.15573799983, -1457.929611, -1850.72421999997, -2160.66837299988, -3021.95548999985, -2790.68946800008, 
-2871.15573799983, -1457.929611, -1850.72421999997, -2160.66837299988, -3021.95548999985, -2790.68946800008, 
-2871.15573799983, -1457.929611, -1850.72421999997, -2160.66837299988, -3021.95548999985, -2790.68946800008, 
-2871.15573799983, -1457.929611, -1850.72421999997, -2160.66837299988, -3021.95548999985, -2790.68946800008, 
-2871.15573799983, -1457.929611, -1850.72421999997, -2160.66837299988, -3021.95548999985, -2790.68946800008, 
-2871.15573799983, -1457.929611, -1850.72421999997, -2160.66837299988, -3021.95548999985, -2790.68946800008, 
-2871.15573799983, -1457.929611, -1850.72421999997, -2160.66837299988, -3021.95548999985, -2790.68946800008, 
-2871.15573799983, -1457.929611, -1850.72421999997, -2160.66837299988, -3021.95548999985, -2790.68946800008, 
-2871.15573799983, -1457.929611, -1850.72421999997, -2160.66837299988, -3021.95548999985, -2790.68946800008, 
-2871.15573799983, -1457.929611, -1850.72421999997, -2160.66837299988, -3021.95548999985, -2790.68946800008, 
-2871.15573799983, -1457.929611, -1850.72421999997, -2160.66837299988, -3021.95548999985, -2790.68946800008, 
-2871.15573799983, -1457.929611, -1850.72421999997, -2160.66837299988, -3021.95548999985, -2790.68946800008, 
-2871.15573799983, -1457.929611, -1850.72421999997, -2160.66837299988, -3021.95548999985, -2790.68946800008, 
-2871.15573799983, -1457.929611, -1850.72421999997, -2160.66837299988, -3021.95548999985, -2790.68946800008, 
-2871.15573799983, -1457.929611, -1850.72421999997, -2160.66837299988, -3021.95548999985, -2790.68946800008, 
-2871.15573799983, -1457.929611, -1850.72421999997, -2160.66837299988, -3021.95548999985, -2790.68946800008, 
-2871.15573799983, -1457.929611, -1850.72421999997, -2160.66837299988, -3021.95548999985, -2790.68946800008, 
-2871.15573799983, -1457.929611, -1850.72421999997, -2160.66837299988, -3021.95548999985, -2790.68946800008, 
-2871.15573799983, -1457.929611, -1850.72421999997, -2160.66837299988, -3021.95548999985, -2790.68946800008, 
-2871.75178499985, -1456.73751799995, -1850.72421999997, -2160.07232599985, -3021.95548999985, -2790.09342100006, 
-2871.75178499985, -1456.73751799995, -1850.72421999997, -2160.07232599985, -3021.95548999985, -2790.09342100006, 
-2871.75178499985, -1456.73751799995, -1850.72421999997, -2160.07232599985, -3021.95548999985, -2790.09342100006, 
-2871.75178499985, -1456.73751799995, -1850.72421999997, -2160.07232599985, -3021.95548999985, -2790.09342100006, 
-2871.75178499985, -1456.73751799995, -1850.72421999997, -2160.07232599985, -3021.95548999985, -2790.09342100006, 
-2871.75178499985, -1456.73751799995, -1850.72421999997, -2160.07232599985, -3021.95548999985, -2790.09342100006, 
-2871.75178499985, -1456.73751799995, -1850.72421999997, -2160.07232599985, -3021.95548999985, -2790.09342100006, 
-2871.75178499985, -1456.73751799995, -1850.72421999997, -2160.07232599985, -3021.95548999985, -2790.09342100006, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
-2869.96364600002, -1446.60472900001, -1855.49259099993, -2160.07232599985, -3021.95548999985, -2791.8815609999, 
