FA, FB, FC, TA, TB, TC, 
-2382.99369799998, -1174.21150199999, -1747.60818500002, -1733.30307000014, -2627.3727419998, -2379.41741900006, 
-2382.99369799998, -1174.21150199999, -1747.60818500002, -1733.30307000014, -2627.3727419998, -2379.41741900006, 
-2382.99369799998, -1174.21150199999, -1747.60818500002, -1733.30307000014, -2627.3727419998, -2379.41741900006, 
-2382.99369799998, -1174.21150199999, -1747.60818500002, -1733.30307000014, -2627.3727419998, -2379.41741900006, 
-2382.99369799998, -1174.21150199999, -1747.60818500002, -1733.30307000014, -2627.3727419998, -2379.41741900006, 
-2382.99369799998, -1174.21150199999, -1747.60818500002, -1733.30307000014, -2627.3727419998, -2379.41741900006, 
-2382.99369799998, -1174.21150199999, -1747.60818500002, -1733.30307000014, -2627.3727419998, -2379.41741900006, 
-2382.99369799998, -1174.21150199999, -1747.60818500002, -1733.30307000014, -2627.3727419998, -2379.41741900006, 
-2382.99369799998, -1174.21150199999, -1747.60818500002, -1733.30307000014, -2627.3727419998, -2379.41741900006, 
-2382.99369799998, -1174.21150199999, -1747.60818500002, -1733.30307000014, -2627.3727419998, -2379.41741900006, 
-2382.99369799998, -1174.21150199999, -1747.60818500002, -1733.30307000014, -2627.3727419998, -2379.41741900006, 
-2382.99369799998, -1174.21150199999, -1747.60818500002, -1733.30307000014, -2627.3727419998, -2379.41741900006, 
-2382.99369799998, -1174.21150199999, -1747.60818500002, -1733.30307000014, -2627.3727419998, -2379.41741900006, 
-2382.99369799998, -1174.21150199999, -1747.60818500002, -1733.30307000014, -2627.3727419998, -2379.41741900006, 
-2382.99369799998, -1174.21150199999, -1747.60818500002, -1733.30307000014, -2627.3727419998, -2379.41741900006, 
-2382.99369799998, -1174.21150199999, -1747.60818500002, -1733.30307000014, -2627.3727419998, -2379.41741900006, 
-2382.99369799998, -1174.21150199999, -1747.60818500002, -1733.30307000014, -2627.3727419998, -2379.41741900006, 
-2382.99369799998, -1174.21150199999, -1747.60818500002, -1733.30307000014, -2627.3727419998, -2379.41741900006, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
-2384.18579100003, -1177.7877809999, -1745.22399900015, -1726.15051300009, -2619.62413800019, -2378.82137300004, 
